"C.m_SCL_cases.eps","C.m_SCL_cases.m1","C.m_SCL_cases.m2","C.m_SCL_cases.m3","C.m_CL_cases.eps","C.m_CL_cases.m1","C.m_CL_cases.m2","C.m_CL_cases.m3","C.m_SCL_cases_icovid.eps","C.m_SCL_cases_icovid.m1","C.m_SCL_cases_icovid.m2","C.m_SCL_cases_icovid.m3","C.m_SCL_deaths.eps","C.m_SCL_deaths.m1","C.m_SCL_deaths.m2","C.m_SCL_deaths.m3","C.m_CL_deaths.eps","C.m_CL_deaths.m1","C.m_CL_deaths.m2","C.m_CL_deaths.m3","C.m_CL_deaths.m4"
0.0502272435147927,0.292739099312191,0.179297251875136,0.123899038311911,0.0502277618515425,0.165172298427568,0.0574105051856808,0.0190699230511877,0.0502272435147927,0.301130836575875,0.187712791828794,0.132174124513619,0.0502300289852368,0.157037526136239,0.0814716994974506,0.0385165621217123,0.0525417993716099,0.16929771301356,0.0767388517843891,0.0330230047898536,0.0135262767321055
0.0529115265100082,0.306495284927329,0.193364663409169,0.134854190656998,0.0529120901623356,0.173001003680161,0.0633656741385079,0.0219136835061894,0.0529115265100082,0.314627918287938,0.201757052529183,0.14314810311284,0.0529145555023421,0.176479219397674,0.0864971937933311,0.0438355159385202,0.055430275439402,0.177561897051879,0.083485124468731,0.0374755447615193,0.0159212035350469
0.0557392650224727,0.321434129034266,0.208583610843111,0.14839251812891,0.0557398773535267,0.181030444964871,0.0699230511876882,0.0252927400468384,0.0557392650224727,0.329401750972763,0.216956468871595,0.156553988326848,0.0557425556101786,0.176479219397674,0.0955210740618466,0.0504750375995011,0.0584775449648601,0.185994737907306,0.0913445321459893,0.0418606220063415,0.018923294879579
0.0587181257123206,0.337400018673555,0.222775512744701,0.160561451557686,0.0587187903152957,0.189427902308464,0.0763466042154567,0.0285714285714286,0.0587181257123206,0.345239542801556,0.231122324902724,0.168895914396887,0.0587216972051541,0.196434466820733,0.10465500165071,0.0558673562965408,0.0616923375900533,0.19651892329488,0.0998111043648384,0.0474262969709236,0.0218916548606895
0.0618561849672365,0.35361488904796,0.238834770159659,0.174784476051166,0.0618569056803551,0.199732351957176,0.0838407494145199,0.0323519571763131,0.0618561849672365,0.361168531128405,0.246990515564202,0.183274562256809,0.0618600579917465,0.196434466820733,0.111404570632038,0.0627636550383331,0.0650838628675699,0.205896242326115,0.109289617486339,0.0537003305673615,0.0253997166565473
0.0651619507994298,0.368460365379229,0.25414708536927,0.189256481279761,0.0651627317218699,0.209166945466711,0.0907661425225828,0.0361324857811977,0.0651619507994298,0.375911964980545,0.26215953307393,0.197714007782101,0.0651661473845543,0.218040424049008,0.121859066065075,0.0696966362202414,0.0686618366435122,0.215543412264724,0.118801861971261,0.060615260068812,0.0301221075355866
0.0686443859128452,0.381967570259251,0.270642059070679,0.204506551305593,0.06864523142167,0.218568082970893,0.0985279357644697,0.040983606557377,0.0686443859128452,0.389257052529183,0.278483706225681,0.212883025291829,0.0686489295808944,0.218040424049008,0.129635743369649,0.078206962327134,0.0724365088908924,0.224043715846995,0.126762463738784,0.06827227956554,0.0350131552317345
0.0723129320031477,0.395568142914942,0.287168155363979,0.219694376147646,0.0723138467713,0.226597524255604,0.107025761124122,0.0458347273335564,0.0723129320031477,0.402906128404669,0.294959873540856,0.227991245136187,0.0723178478665075,0.238912732474964,0.14130075932651,0.0862404167125197,0.0764186930731648,0.23460163259799,0.136240976860285,0.075828104972003,0.040983606557377
0.0761775353563669,0.409230960754412,0.302698328716816,0.234975568765367,0.076178524371793,0.237303445968551,0.11649381063901,0.0528939444630311,0.0761775353563669,0.416342412451362,0.310432879377432,0.243160262645914,0.0761828502202726,0.257327317413154,0.151865302079894,0.0942371886577895,0.0806197971220119,0.246475072522431,0.146832624974701,0.0854415435471902,0.0480334615125143
0.0802486738156037,0.422800410818213,0.318882076499331,0.250754722853319,0.0802497424015759,0.248511207761793,0.126296420207427,0.0595851455336233,0.0802486738156037,0.42962670233463,0.32636186770428,0.258846060311284,0.0802544162873576,0.257327317413154,0.162943398994901,0.10267414988445,0.0850518561181303,0.256796869729474,0.157323078998853,0.0944140862173649,0.0550495851042299
